file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0054_0141_918467_to_921760,ངས་དངོས་གནས་སྟོད་སེར་པོ་གོན་ཡོད།  ,ngas dngos gnas stod ser po gon yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0054_0141_918467_to_921760.wav,STT_MV,3,34,3.293,wav16k/STT_MV0054_0141_918467_to_921760.wav,ངས་དངོས་གནས་སྟོད་གོས་སེར་པོ་གོན་ཡོད།
STT_MV0716_0306_2333320_to_2337548,ཡག་ཉེས་ག་འདྲའི་གཅིག་ཡིན་ན། ཀའུ་རུང་ཅིང་གིས་གསུང་པ་ལྟར།  ,yag nyes ga 'dra'i gcig yin na/_ka'u rung cing gis gsung pa ltar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0716_0306_2333320_to_2337548.wav,STT_MV,3,56,4.228,wav16k/STT_MV0716_0306_2333320_to_2337548.wav,ཡག་ཉེས་ག་འདྲས་ཤིག་ཡིན་ན། ཀའོ་རུང་ཅིང་གིས་གསུངས་པ་ལྟར།
STT_MV0054_0144_934600_to_936117,ཁྱོན་ནས་ནོར་ཡ་མེད།  ,khyon nas nor ya med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0054_0144_934600_to_936117.wav,STT_MV,3,20,1.517,wav16k/STT_MV0054_0144_934600_to_936117.wav,ཁྱོན་ནས་ནོར་ཡ་མེད།
STT_PC0164_0210_1493575_to_1502807,འགན་ཟེ་ཞེ་བོ་ཅིག་འཁྱེར་མ་ཐུབ། གཞན་དག་གང་ཡང་བྱེད་མ་ཐུབ་ན་ཡང་། ཡང་ལུས་འབྲས་དང་འདི་ཚོ་ཀི་ཐོག་ནས། ད་དངོས་གནས་དྲང་གནས་མི་ག་འདྲས་ཅིག་དང་མཉམ་དུ་ཕྱིན་པ་ཡིན་ན། ང་འདི་གིས་བདེ་བ་སྤྲད་པ་ནང་བཞིན་ཅིག་ད་སུ་གཅིག་གིས་སྤྲད་ཐུབ་ཀི་མ་རེད།  ,'gan ze zhe bo cig 'khyer ma thub/_gzhan dag gang yang byed ma thub na yang /_yang lus 'bras dang 'di tsho ki thog nas/_da dngos gnas drang gnas mi ga 'dras cig dang mnyam du phyin pa yin na/_nga 'di gis bde ba sprad pa nang bzhin cig da su gcig gis sprad thub ki ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0164_0210_1493575_to_1502807.wav,STT_PC,3,220,9.232,wav16k/STT_PC0164_0210_1493575_to_1502807.wav,འགན་སེ་ཞེ་བོ་ཅིག་ཁྱེར་མ་ཐུབ་གཞན་དག་གང་ཡང་བྱེད་མ་ཐུབ་ན་ཡང་། ཡང་ལུས་འབྲེལ་དང་དེ་ཚོ་གི་ཐོག་ནས་ ད་དངོས་གནས་དྲང་གནས་མི་ག་འདྲས་ཅིག་དང་མཉམ་དུ་ཕྱིན་པ་ཡིན་ན། ང་འདི་གི་བདེ་བ་སྤྲད་པ་ནང་བཞིན་ཅིགད་སུ་གཅིག་གིས་སྤྲད་ཐུབ་ཀི་མ་རེད།
STT_MV0462_0084_669124_to_672563,ཁྱེད་རང་གིས་ཐབས་ཤེས་ཡོད་ཚད་བཏང་ནས་།  ,khyed rang gis thabs shes yod tshad btang nas /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0462_0084_669124_to_672563.wav,STT_MV,3,37,3.439,wav16k/STT_MV0462_0084_669124_to_672563.wav,ཁྱེད་རང་གིས་ཐབས་ཤེས་ཡོད་ཚད་བཏང་ནའ།
STT_CS-D-2013-M-D-B03-2-R-03_0022_143201_to_148814,དང་། ཐོབ་མྱི་དང་ཨེ་ནས་ཐོབ་མྱི་དང་ཤོར་མྱི་ལ།  ,dang /_thob myi dang e nas thob myi dang shor myi la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B03-2-R-03_0022_143201_to_148814.wav,STT_CS,3,45,5.613,wav16k/STT_CS-D-2013-M-D-B03-2-R-03_0022_143201_to_148814.wav,དང་། ཐོབ་མྱི་དང་ཨ་ནས། ཐོབ་མྱི་དང་ཤོར་མྱི་ལ།
STT_MV0462_0085_672563_to_680837,མཐའ་མ་དེར་ཁྱེད་རང་བུ། དཀའ་ཐུབ་པ་ཞིག་ཆགས་ཀི་རེད།  ,mtha' ma der khyed rang bu/_dka' thub pa zhig chags ki red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0462_0085_672563_to_680837.wav,STT_MV,3,49,8.274,wav16k/STT_MV0462_0085_672563_to_680837.wav,མཐའ་མ་འདིར་ཁྱེད་རང་གི་བུ་དཀའ་ཐུབ་པ་ཞིག་ཆགས་ཀི་རེད།
STT_MV0054_0147_954590_to_959856,ངས་ད་ག་ཙམ་གོན་བྱས། དེ ,ngas da ga tsam gon byas/_de_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0054_0147_954590_to_959856.wav,STT_MV,3,22,5.266,wav16k/STT_MV0054_0147_954590_to_959856.wav,ངས།ངས་ད་ག་སེ་གོན་བྱས། འདི།
STT_MV0054_0151_972958_to_975743,བྱེད་སྟངས་དེ་གོང་མ་མཆོག་ལ་བརྩི་བཀུར་མེད་པ་རང་རེད།  ,byed stangs de gong ma mchog la brtsi bkur med pa rang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0054_0151_972958_to_975743.wav,STT_MV,3,51,2.785,wav16k/STT_MV0054_0151_972958_to_975743.wav,བྱེད་སྟངས་དེ་གོང་མ་མཆོག་ལ་བརྩི་བཀུར་མེད་པ་རང་རེད།
STT_CS-D-2013-M-D-B02-5-R-02_0035_264417_to_267563,དེ་ཡིས་རཱ། སློང་མཁན་སློང་མཁན་གཅིག་ལ་རཱ།  ,de yis rA/_slong mkhan slong mkhan gcig la rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B02-5-R-02_0035_264417_to_267563.wav,STT_CS,3,41,3.146,wav16k/STT_CS-D-2013-M-D-B02-5-R-02_0035_264417_to_267563.wav,དེཡིས་རཱ། སློང་མཁན། སློང་མཁན་གཅིག་ལ་རཱ།
STT_NS_M0454_0328_1938688_to_1945269,ང་ཚོ་ཁྱོད་མཐུན་མཐུན་དགོས་ད་རེད་དཱ། ཡིན་ནས་ག་དུས་ཡིན་ན་མི་ཡིས་སེམས་ཤུགས་སྤར་ཡ་ལབ་ཡ་དེ་ཡ་ཡུད་དཀའ་ལས་ཁག་པོ་རེད་དཱ། ག་རེ་ལབ་ན་མིས་ད་ང་ཚོར་གནག་པོ་མ་ཤས་ལབ་ཀྱི་མི་འདུག་རཱ། སེམས་ཤུགས་བཅག ,nga tsho khyod mthun mthun dgos da red dA/_yin nas ga dus yin na mi yis sems shugs spar ya lab ya de ya yud dka' las khag po red dA/_ga re lab na mis da nga tshor gnag po ma shas lab kyi mi 'dug rA/_sems shugs bcag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0454_0328_1938688_to_1945269.wav,STT_NS,3,179,6.581,wav16k/STT_NS_M0454_0328_1938688_to_1945269.wav,ང་ཚོ་ཐོན་མཐུན་དགོས་ད་རེད་ད་ཡིན་ནས་ག་དུས་ཡིན་ན་མི་ཡི་སེམས་ཤུགས་སྤར་ར་ལབ་ཡ་དེ་ཡ་ཡུད་དཀའ་ལས་ཁག་པོ་རེད་ད། ག་ར་ལ་ན། མི་ད་ང་ཚོ་གནག་པོ་མ་ཤས་ལབ་ཀི་མི་འདུག་རཱ། སེམས་ཤུགས་ཅང།
STT_MV0716_0302_2303761_to_2310722,འདིར་རྗེན་ཚང་གྲོང་ཚོའི་གནའ་ཤུལ་རེད་པ། གུས་པས་ཀའོ་རུང་ཅིང་གིས་གསུང་པ་ལྟར་འདིར་རྙེད་བྱུང་། ཕལ་ཆེར་ད་ག་ཡིན་པ་ཡོད།  ,'dir rjen tshang grong tsho'i gna' shul red pa/_gus pas ka'o rung cing gis gsung pa ltar 'dir rnyed byung /_phal cher da ga yin pa yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0716_0302_2303761_to_2310722.wav,STT_MV,3,112,6.961,wav16k/STT_MV0716_0302_2303761_to_2310722.wav,འདིར་རྗེན་ཚང་གྲོང་ཚོའི་མནའ་ཤུལ་རེད་པ། གུས་པས་ཀའོ་རུང་ཅིང་གིས་གསུངས་པ་ལྟར་འདིར་རྙེད་བྱུང་། ཕལ་ཆེར་ད་ག་ཡིན་པ་ཡོད།
STT_MV0054_0153_983239_to_987678,སྐུ་ངོ། སྐུ་ངོ་། སྐུ་ངོ་ལ་ཞུ་རྒྱུར།  ,sku ngo/_sku ngo /_sku ngo la zhu rgyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0054_0153_983239_to_987678.wav,STT_MV,3,37,4.439,wav16k/STT_MV0054_0153_983239_to_987678.wav,སྐུ་ངོ་། སྐུ་ངོ་། སྐུ་ངོ་ལ་ཞུ་རྒྱུར།
STT_MV0462_0114_848226_to_850248,མིག་ཆུའི་རིན་པ་དེ།  ,mig chu'i rin pa de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0462_0114_848226_to_850248.wav,STT_MV,3,20,2.022,wav16k/STT_MV0462_0114_848226_to_850248.wav,མིག་ཆུའི་རིན་པ་འདི།
STT_MV0462_0116_870757_to_873657,རྒྱལ་པོ། འདིར་ཡོད།  ,rgyal po/_'dir yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0462_0116_870757_to_873657.wav,STT_MV,3,20,2.9,wav16k/STT_MV0462_0116_870757_to_873657.wav,རྒྱལ་པོ་འདིར་ཡོད།
